MOVIES,GENRE
The Guernsey Literary and Potato Peel Pie Society,"Drama, Romance, War"
Steins;Gate,"Animation, Comedy, Drama"
Beauty and the Beast,"Animation, Family, Fantasy"
The SpongeBob Movie: Sponge on the Run,"Animation, Adventure, Comedy"
Finding Dory,"Animation, Adventure, Comedy"
The Shannara Chronicles,"Adventure, Fantasy, Sci-Fi"
The Wrong Missy,"Comedy, Romance"
Kol,"Crime, Horror, Mystery"
Public Enemies,"Biography, Crime, Drama"
A Second Chance: Rivals!,"Drama, Family, Sport"
I Am Not Okay with This,"Comedy, Drama, Fantasy"
127 Hours,"Biography, Drama"
Army of the Dead: Lost Vegas,"Animation, Action, Crime"
Jurassic Park III,"Action, Adventure, Sci-Fi"
Lovesick,Comedy
Revenge,"Action, Horror, Thriller"
Total Recall,"Action, Adventure, Sci-Fi"
Happy Valley,"Crime, Drama"
Barbarians,"Action, Adventure, Drama"
That Time I Got Reincarnated as a Slime,"Animation, Action, Adventure"
Vis a vis,"Drama, Thriller"
Footloose,"Drama, Music, Romance"
Brand New Cherry Flavor,"Drama, Horror, Mystery"
Hell on Wheels,"Drama, Western"
Too Hot to Handle Brazil,"Reality-TV, Romance"
Fairy Tail: Fearî teiru,"Animation, Action, Adventure"
Brooklyn,"Drama, Romance"
Pinocchio,"Animation, Drama, Family"
On Becoming a God in Central Florida,Comedy
Child's Play,"Drama, Horror, Sci-Fi"
The Danish Girl,"Biography, Drama, Romance"
The Bad Batch,"Action, Horror, Mystery"
Into the Night,"Drama, Sci-Fi, Thriller"
Shûmatsu no Valkyrie,"Animation, Action, Adventure"
Penguin Bloom,Drama
Je8ileui Bam,"Horror, Thriller"
Now You See Me 2,"Action, Adventure, Comedy"
Undercover,"Crime, Drama, Thriller"
Holidate,"Comedy, Romance"
The Gift,"Drama, Fantasy, Mystery"
Keeping Up with the Kardashians,"Drama, Family, Reality-TV"
The Tourist,"Action, Thriller"
The Emperor's New Groove,"Animation, Adventure, Comedy"
Stateless,Drama
Rake,"Comedy, Drama"
Deepwater Horizon,"Action, Drama, History"
Mob Psycho 100,"Animation, Action, Comedy"
Blue Miracle,"Adventure, Biography, Drama"
3Below: Tales of Arcadia,"Animation, Action, Adventure"
Finding 'Ohana,"Action, Adventure, Comedy"
1922,"Crime, Drama, Horror"
Hubie Halloween,"Comedy, Mystery"
